t,y
3582508.8571428563,365114.0
3582508.8571428563,365675.0
3592508.8571428563,365675.0
3592508.8571428563,365744.0
3602512.8571428563,365744.0
3602512.8571428563,368701.0
3612508.8571428563,368701.0
3612508.8571428563,371794.0
3622508.8571428563,371794.0
3622508.8571428563,372326.0
3632514.8571428563,372326.0
3632514.8571428563,375298.0
3642508.8571428563,375298.0
3642508.8571428563,375810.0
3652512.8571428563,375810.0
3652512.8571428563,375878.0
3662508.8571428563,375878.0
3662508.8571428563,378809.0
3672512.8571428563,378809.0
3672512.8571428563,378869.0
3682512.8571428563,378869.0
3682512.8571428563,381980.0
3692512.8571428563,381980.0
3692512.8571428563,382516.0
3702514.8571428563,382516.0
3702514.8571428563,383049.0
3712508.8571428563,383049.0
3712508.8571428563,383569.0
3722508.8571428563,383569.0
3722508.8571428563,386499.0
3732508.8571428563,386499.0
3732508.8571428563,387178.0
3742508.8571428563,387178.0
3742508.8571428563,390213.0
3752512.8571428563,390213.0
3752512.8571428563,390744.0
3762508.8571428563,390744.0
3762508.8571428563,391256.0
3772512.8571428563,391256.0
3772512.8571428563,391324.0
3782512.8571428563,391324.0
3782512.8571428563,394278.0
3792514.8571428563,394278.0
3792514.8571428563,394791.0
3802508.8571428563,394791.0
3802508.8571428563,397893.0
3812552.8571428563,397893.0
3812552.8571428563,397954.0
3822508.8571428563,397954.0
3822508.8571428563,398484.0
3832508.8571428563,398484.0
3832508.8571428563,401450.0
3842508.8571428563,401450.0
3842508.8571428563,401511.0
3852508.8571428563,401511.0
3852508.8571428563,402023.0
3862512.8571428563,402023.0
3862512.8571428563,402543.0
3872518.8571428563,402543.0
3872518.8571428563,405690.0
3882508.8571428563,405690.0
3882508.8571428563,406218.0
3892508.8571428563,406218.0
3892508.8571428563,406741.0
3902512.8571428563,406741.0
3902512.8571428563,409668.0
3912508.8571428563,409668.0
3912508.8571428563,409728.0
3922508.8571428563,409728.0
3922508.8571428563,410385.0
3932508.8571428563,410385.0
3932508.8571428563,410450.0
3942514.8571428563,410450.0
3942514.8571428563,413512.0
3952508.8571428563,413512.0
3952508.8571428563,414033.0
3962508.8571428563,414033.0
3962508.8571428563,417709.0
3972508.8571428563,417709.0
3972508.8571428563,417769.0
3982508.8571428563,417769.0
3982508.8571428563,418342.0
3992512.8571428563,418342.0
3992512.8571428563,418404.0
4002512.8571428563,418404.0
4002512.8571428563,421312.0
4012508.8571428563,421312.0
4012508.8571428563,421984.0
4022514.8571428563,421984.0
4022514.8571428563,424921.0
4032508.8571428563,424921.0
4032508.8571428563,424980.0
4042508.8571428563,424980.0
4042508.8571428563,425500.0
4052512.8571428563,425500.0
4052512.8571428563,426023.0
4062508.8571428563,426023.0
4062508.8571428563,426083.0
4072512.8571428563,426083.0
4072512.8571428563,429044.0
4082508.8571428563,429044.0
4082508.8571428563,429603.0
4092508.8571428563,429603.0
4092508.8571428563,432683.0
4102514.8571428563,432683.0
4102514.8571428563,433204.0
4112512.8571428563,433204.0
4112512.8571428563,433740.0
4122508.8571428563,433740.0
4122508.8571428563,436648.0
4132508.8571428563,436648.0
4132508.8571428563,436726.0
4142512.8571428563,436726.0
4142512.8571428563,439781.0
4152508.8571428563,439781.0
4152508.8571428563,439841.0
4162512.8571428563,439841.0
4162512.8571428563,440361.0
4172512.8571428563,440361.0
4172512.8571428563,440882.0
4182508.8571428563,440882.0
4182508.8571428563,443857.0
4192514.8571428563,443857.0
4192514.8571428563,443925.0
4202525.857142856,443925.0
4202525.857142856,444455.0
4212508.857142856,444455.0
4212508.857142856,444515.0
4222512.857142856,444515.0
4222512.857142856,447583.0
4232508.857142856,447583.0
4232508.857142856,448128.0
4242508.857142856,448128.0
4242508.857142856,451002.0
4252512.857142856,451002.0
4252512.857142856,451080.0
4262512.857142856,451080.0
4262512.857142856,451607.0
4272508.857142856,451607.0
4272508.857142856,451667.0
4282508.857142856,451667.0
4282508.857142856,452201.0
4292515.857142856,452201.0
4292515.857142856,455289.0
4302508.857142856,455289.0
4302508.857142856,455802.0
4312508.857142856,455802.0
4312508.857142856,455870.0
4322508.857142856,455870.0
4322508.857142856,458946.0
4332508.857142856,458946.0
4332508.857142856,459005.0
4342512.857142856,459005.0
4342512.857142856,459526.0
4352512.857142856,459526.0
4352512.857142856,462708.0
4362514.857142856,462708.0
4362514.857142856,463221.0
4372512.857142856,463221.0
4372512.857142856,463299.0
4382512.857142856,463299.0
4382512.857142856,466961.0
4392508.857142856,466961.0
4392508.857142856,467021.0
4402508.857142856,467021.0
4402508.857142856,467581.0
4412512.857142856,467581.0
4412512.857142856,467643.0
4422508.857142856,467643.0
4422508.857142856,470749.0
4432508.857142856,470749.0
4432508.857142856,471279.0
4442514.857142856,471279.0
4442514.857142856,474186.0
4452508.857142856,474186.0
4452508.857142856,474246.0
4462512.857142856,474246.0
4462512.857142856,474767.0
4472512.857142856,474767.0
4472512.857142856,474829.0
4482512.857142856,474829.0
4482512.857142856,477875.0
4492508.857142856,477875.0
4492508.857142856,478406.0
4502512.857142856,478406.0
4502512.857142856,481304.0
4512508.857142856,481304.0
4512508.857142856,481364.0
4522514.857142856,481364.0
4522514.857142856,481885.0
4532508.857142856,481885.0
4532508.857142856,481946.0
4542508.857142856,481946.0
4542508.857142856,485024.0
4552508.857142856,485024.0
4552508.857142856,485551.0
4562508.857142856,485551.0
4562508.857142856,488461.0
4572512.857142856,488461.0
4572512.857142856,488521.0
4582512.857142856,488521.0
4582512.857142856,491605.0
4592512.857142856,491605.0
4592512.857142856,492143.0
4602508.857142856,492143.0
4602508.857142856,492660.0
4612514.857142856,492660.0
4612514.857142856,495641.0
4622514.857142856,495641.0
4622514.857142856,498701.0
4632508.857142856,498701.0
4632508.857142856,498760.0
4642508.857142856,498760.0
4642508.857142856,499295.0
4652514.857142856,499295.0
4652514.857142856,499816.0
4662508.857142856,499816.0
4662508.857142856,502766.0
4672508.857142856,502766.0
4672508.857142856,502835.0
4682508.857142856,502835.0
4682508.857142856,505982.0
4692514.857142856,505982.0
4692514.857142856,506042.0
4702512.857142856,506042.0
4702512.857142856,506562.0
4712508.857142856,506562.0
4712508.857142856,507110.0
4722508.857142856,507110.0
4722508.857142856,510145.0
4732508.857142856,510145.0
4732508.857142856,510213.0
4742512.857142856,510213.0
4742512.857142856,510735.0
4752508.857142856,510735.0
4752508.857142856,510795.0
4762508.857142856,510795.0
4762508.857142856,513722.0
4772512.857142856,513722.0
4772512.857142856,515181.0
4782512.857142856,515181.0
4782512.857142856,515745.0
4792515.857142856,515745.0
4792515.857142856,515813.0
4802512.857142856,515813.0
4802512.857142856,518720.0
4812508.857142856,518720.0
4812508.857142856,518780.0
4822512.857142856,518780.0
4822512.857142856,519301.0
4832508.857142856,519301.0
4832508.857142856,522273.0
4842512.857142856,522273.0
4842512.857142856,522941.0
4852508.857142856,522941.0
4852508.857142856,525895.0
4862512.857142856,525895.0
4862512.857142856,525957.0
4872514.857142856,525957.0
4872514.857142856,526470.0
4882508.857142856,526470.0
4882508.857142856,529417.0
4892512.857142856,529417.0
4892512.857142856,530079.0
4902508.857142856,530079.0
4902508.857142856,532994.0
4912508.857142856,532994.0
4912508.857142856,533520.0
4922508.857142856,533520.0
4922508.857142856,536428.0
4932508.857142856,536428.0
4932508.857142856,537094.0
4942508.857142856,537094.0
4942508.857142856,540013.0
4952515.857142856,540013.0
4952515.857142856,540075.0
4962508.857142856,540075.0
4962508.857142856,540595.0
4972508.857142856,540595.0
4972508.857142856,540665.0
4982508.857142856,540665.0
4982508.857142856,543587.0
4992508.857142856,543587.0
4992508.857142856,544099.0
5002508.857142856,544099.0
5002508.857142856,547239.0
